INPUT           ORIGINAL BASE   TARGET BASE     CONVERTED VALUE      CONVERTED VALUE IN BASE 10
U               61              41              U                    30                       
95B59           13              9               451283               269967                   
BJD5            57              8               10004620             2099600                  
14              10              42              E                    14                       
2               24              38              2                    2                        
JPES            60              25              AIBJI                4194868                  
1               35              44              1                    1                        
HeUX            49              20              D23IG                2097576                  
210             3               58              L                    21                       
Cd              56              22              1A7                  711                      
h2cs            58              39              3OMYZ                8398802                  
G               29              5               31                   16                       
8L7F0           22              34              1JFR4                2101374                  
1VRTO           39              31              4GOO4                4194552                  
9iHQ            60              19              G2CDD                2103446                  
6               49              63              6                    6                        
1E              47              13              49                   61                       
57IK            59              46              AbF2                 1052344                  
3942            11              20              CG8                  5128                     
1020031         4               6               33221                4621                     
32j             53              22              HFK                  8578                     
20FL            28              16              AD39                 44345                    
8394152         10              24              117548               8394152                  
7T              56              56              7T                   421                      
rHI6            54              24              1178F6               8396142                  
30              4               46              C                    12                       
1               52              32              1                    1                        
1               47              59              1                    1                        
3               51              59              3                    3                        
1110000010      2               17              31E                  898                      
145             19              2               110111010            442                      
t3              63              4               312030               3468                     
5BM7            29              53              knU                  131841                   
357             36              5               112300               4075                     
100011101101101 2               9               27066                18285                    
B0D             28              5               234022               8637                     
A7              29              48              69                   297                      
1KS8            58              53              1eqV                 264024                   
B               25              56              B                    11                       
1               31              50              1                    1                        
0               26              37              0                    0                        
4               39              23              4                    4                        
1               18              43              1                    1                        
9FC             16              7               10311                2556                     
2AM             37              23              5L2                  3130                     
I               25              51              I                    18                       
1001210121      3               47              9NX                  20995                    
1CC4            13              58              1HZ                  4385                     
gB0             56              27              6JE1                 132328                   
b6W             42              25              44M2                 65552                    
3               9               33              3                    3                        
41              18              49              1O                   73                       
1               54              55              1                    1                        
BhX             53              60              9DV                  33211                    
2ZeS            46              34              6U2S                 270600                   
213241          5               52              2af                  7321                     
827             10              6               3455                 827                      
O               39              45              O                    24                       
C               54              8               14                   12                       
2XXR            59              6               15150341             527605                   
5BK1            37              46              2Z7B                 269065                   
12158           13              13              12158                33197                    
J               22              16              13                   19                       
IUWx            61              58              LUHf                 4199299                  
1AL             50              47              1HD                  3021                     
7A0             11              59              GD                   957                      
1002001         4               23              7MG                  4225                     
6MF             51              16              4167                 16743                    
2A24            11              30              49S                  3898                     
571             15              28              1FR                  1231                     
1994            11              13              11C1                 2523                     
1               24              58              1                    1                        
4313330         7               40              87ZF                 524615                   
20GR5           38              19              1D39G5               4194407                  
1               8               31              1                    1                        
0               45              63              0                    0                        
2B669A          15              52              ElY2                 2097370                  
CFE6I           24              51              VWT6                 4196898                  
128             25              22              191                  683                      
LL              49              54              JO                   1050                     
302             9               17              E7                   245                      
2HKO8           30              25              59693                2097728                  
3SOB            53              62              2Cz0                 526566                   
10000101101011011 2               5               4142233              68443                    
E3GF            21              47              1CLA                 131328                   
AiZP            58              27              3PK7O                2101191                  
CN              32              27              F2                   407                      
13NN            27              44              BRU                  22514                    
0               8               55              0                    0                        
5bgK            57              4               10000000100          1048592                  
82B             52              46              ACZ                  21747                    
1K7H3           23              55              39Gm                 527278                   
4BE             26              27              437                  3004                     
20EB4           19              54              1bAD                 265909                   
O1A             27              56              5X5                  17533                    
C               31              9               13                   12                       
40B             17              56              Kl                   1167                     
5J              47              3               100102               254                      
1               37              53              1                    1                        
4AB42           22              32              100AM                1048918                  
H0              22              26              EA                   374                      
8067            32              38              4TPT                 262343                   
14F             20              55              90                   495                      
3HR8W           33              19              1D41GI               4198391                  
22              14              13              24                   30                       
1E0E2           29              55              6GjA                 1049135                  
hVi             55              2               100000001011110000   131824                   
12C5C           16              30              2PD2                 76892                    
1G              36              25              22                   52                       
10              5               6               5                    5                        
3Cb2            43              57              1Nfj                 262302                   
2252            9               44              bd                   1667                     
B3B4CB          13              34              34ORU                4194916                  
2424            9               59              UY                   1804                     
4               35              55              4                    4                        
151             8               21              50                   105                      
45604           11              42              bG9                  65949                    
1BTR            37              10              66812                66812                    
1101111110001   2               8               15761                7153                     
A               38              7               13                   10                       
14D             15              32              9A                   298                      
0               54              2               0                    0                        
HaS             43              14              C05B                 33009                    
116             15              61              42                   246                      
6               29              34              6                    6                        
lEW             53              11              90855                132797                   
300             4               7               66                   48                       
114A1           11              14              6075                 16567                    
oT0             51              4               200013021            131529                   
6Q              34              49              4Y                   230                      
2S7NJ           29              17              183465               2104027                  
I               25              24              I                    18                       
1               5               50              1                    1                        
20000012303     4               27              3PF9B                2097587                  
1c              61              25              3O                   99                       
TEVD            33              18              A18F1                1058455                  
4               15              13              4                    4                        
A               59              63              A                    10                       
2Q              47              23              55                   120                      
BJT             36              26              M3J                  14969                    
6               56              54              6                    6                        
1MFQM           49              62              ZCis                 8390390                  
2Lb             38              45              1bX                  3723                     
2411595         11              10              4204007              4204007                  
3               49              59              3                    3                        
13D             42              43              11B                  1903                     
U               31              56              U                    30                       
19              27              42              a                    36                       
n               56              24              21                   49                       
1               23              34              1                    1                        
1bB1            41              7               1055405              131570                   
2Ed             44              10              4527                 4527                     
JNL1            30              21              2FED7                534331                   
15ABEE          15              30              18PET                1048949                  
7807656         9               35              2RW19                4198119                  
1Z5             60              16              1649                 5705                     
87              40              50              6R                   327                      
2D              28              14              4D                   69                       
4NMF            24              23              5FDI                 69087                    
7E              33              11              203                  245                      
177O            25              12              B833                 20199                    
LUd7            58              5               2033404131           4200541                  
9j              46              19              153                  459                      
72ORN           33              47              1XgbE                8400371                  
2KJR            48              21              17K3C                268203                   
Fl              63              16              3E0                  992                      
7               8               6               11                   7                        
1KTv            58              4               1000133003           264131                   
25              47              37              2P                   99                       
I993K           26              42              2TA8E                8389934                  
Jdi             60              51              RAl                  70784                    
F               47              21              F                    15                       
20W             63              27              AP5                  7970                     
EC8             24              19              1430                 8360                     
2671            20              40              BNL                  18541                    
A2C             29              15              27A5                 8480                     
0               19              25              0                    0                        
2141354         7               41              3X02                 262238                   
4002172         8               31              147A0                1049722                  
382D            17              42              9T4                  17098                    
816             11              41              O1                   985                      
37c             56              41              5Yd                  9838                     
3JRW            34              31              4MGO                 140826                   
1037            10              3               1102102              1037                     
1K5D0           23              22              2590H                526125                   
1A3             11              58              42                   234                      
2FH             46              10              4939                 4939                     
H4              57              35              RS                   973                      
0               12              36              0                    0                        
5RCJ            28              2               100000000011010011   131283                   
5Zu             62              11              15127                21446                    
7MWD            33              5               32322321             276586                   
8oS1            62              4               20000311101          2100561                  
AhSt            58              23              7B8LC                2097451                  
Cdo             61              46              MBN                  47081                    
5fdD            57              51              803n                 1061410                  
5Q              31              52              3P                   181                      
14a             50              25              49B                  2736                     
21300           4               56              B8                   624                      
6               54              10              6                    6                        
99              25              15              109                  234                      
2E              54              17              73                   122                      
CC6             31              12              6A86                 11910                    
235             8               15              A7                   157                      
1               24              7               1                    1                        
2Ofc            47              63              13Ah                 262627                   
1               28              53              1                    1                        
1929            11              49              111                  2451                     
3               48              16              3                    3                        
1230552         6               50              QQ8                  66308                    
100111110       2               18              HC                   318                      
1JZAS           41              48              biQ5                 4194533                  
AQ              37              44              90                   396                      
5M              32              49              3Z                   182                      
jIcM            57              18              47H691               8394355                  
100001123030    4               19              1D46E0               4200140                  
77H             48              38              BFR                  16481                    
10D             14              20              A9                   209                      
22IK            21              24              1A92                 19802                    
2B7DAD          15              26              4FFP4                2102338                  
QQ1R            34              27              1QC2K                1052021                  
1               4               59              1                    1                        
66hO            44              39              8Wa8                 524636                   
CFKFM           24              55              PDY4                 4200574                  
S7H             37              57              BoJ                  38608                    
B1R             34              3               122112020            12777                    
17W             39              28              296                  1826                     
3               47              3               10                   3                        
7               37              47              7                    7                        
t               63              44              1B                   55                       
5               63              26              5                    5                        
1413            6               7               1035                 369                      
AGBD2           21              60              9gmW                 2098112                  
1014111213      5               37              14FA5                2097683                  
OOE             37              6               420142               33758                    
1CDV3           51              29              BP32D                8392410                  
WVC7            40              14              3C8875               2098087                  
eJTO            47              9               7805181              4196278                  
6S6             30              54              27a                  6246                     
C0D1            28              29              ANJ5                 263789                   
28U1T           37              10              4194682              4194682                  
878P            32              60              1ErD                 269593                   
8gm             51              39              F4R                  22998                    
7B3             17              50              iD                   2213                     
0               29              8               0                    0                        
VC              37              52              MF                   1159                     
XSmH            50              45              112Zg                4197417                  
4hc             51              53              4QL                  12635                    
4043            5               24              LJ                   523                      
108ZQ           38              48              IkTC                 2098044                  
92P0R           31              26              I9H31                8395323                  
91I             41              8               35524                15188                    
29              14              50              b                    37                       
2m5K            57              62              2D0F                 526643                   
15DAK           44              17              2G4DAF               4199644                  
814CD           16              58              2fPF                 529613                   
1               33              42              1                    1                        
0               61              28              0                    0                        
79              26              17              B4                   191                      
1PDWG           33              15              2B716A               2099575                  
100000000001000001000011 2               2               100000000001000001000011 8392771                  
171             16              27              DI                   369                      
DK              26              25              E8                   358                      
fs2             57              50              14Pd                 136289                   
100G4           32              7               11626402             1049092                  
1BND            37              10              66576                66576                    
1L              27              36              1C                   48                       
8P              44              54              6r                   377                      
8               40              47              8                    8                        
KK              54              51              LT                   1100                     
34BBA           12              17              E727                 70846                    
1               52              32              1                    1                        
P               41              56              P                    25                       
45C             60              6               152040               14712                    
8I              60              21              12F                  498                      
BTa             57              44              JES                  37428                    
3137            24              14              114D1                42127                    
20002           3               62              2e                   164                      
14MN            39              15              1498E                66284                    
3               21              11              3                    3                        
40A8F           19              31              HJBE                 525061                   
PQ              31              9               1080                 801                      
DA              15              57              3Y                   205                      
2               22              12              2                    2                        
1DQ             35              51              XN                   1706                     
3E              38              10              128                  128                      
441235          6               42              KVH                  36599                    
4DQU            31              22              C9G9                 132493                   
131240230       7               63              XaVS                 8396416                  
JC              34              23              15E                  658                      
1               51              19              1                    1                        
6B2E3           20              31              146KC                1049083                  
BC8             16              55              sk                   3016                     
2               29              46              2                    2                        
3               23              35              3                    3                        
PBlA            55              54              QYbd                 4195245                  
1S              39              5               232                  67                       
3S0K            33              6               2544215              138323                   
0               8               25              0                    0                        
2032            4               47              31                   142                      
1IN             31              23              2L1                  1542                     
1011111011010   2               3               22101011             6106                     
1               14              60              1                    1                        
1B              18              42              T                    29                       
3O1E            33              7               1065440              133994                   
61              12              29              2F                   73                       
1               5               22              1                    1                        
4R7             43              5               233224               8564                     
6               25              38              6                    6                        
yo              62              28              4MI                  3770                     
H               24              19              H                    17                       
1N              49              9               80                   72                       
2AH             19              16              3A1                  929                      
69IE6           34              28              DI9BE                8393042                  
156             21              35              FR                   552                      
17Ymk           52              53              13IoQ                8390350                  
4KE             52              7               46415                11870                    
3               50              48              3                    3                        
VVl7            51              36              2HX1S                4195216                  
2               37              38              2                    2                        
8AJ1            25              2               100000001010001110   131726                   
5LjW            58              8               4000416              1048846                  
1UE             33              38              1H3                  2093                     
0               13              13              0                    0                        
Yy              61              25              3A9                  2134                     
117MFK          24              7               131302046            8404220                  
1Ua             44              25              56H                  3292                     
3AIM            23              57              Cul                  42227                    
2549            26              8               113365               38645                    
BrUW            56              18              12009E               2099696                  
1220            6               58              5A                   300                      
5342011         6               4               1000001113           262231                   
222Y6           45              34              69EXS                8389086                  
1               55              41              1                    1                        
2               49              54              2                    2                        
40MH            32              41              1bGJ                 131793                   
B04A            15              8               110513               37195                    
CI6             39              47              8RJ                  18960                    
50              20              46              28                   100                      
2               37              55              2                    2                        
5O              31              10              179                  179                      
1               35              25              1                    1                        
93C             16              25              3JE                  2364                     
4NA             26              19              936                  3312                     
3               29              62              3                    3                        
3               32              33              3                    3                        
0               40              34              0                    0                        
4               27              11              4                    4                        
ORc9            44              50              GdHJ                 2098369                  
63              9               38              1J                   57                       
1D4710          14              16              1003FA               1049594                  
RHT             49              7               362341               65689                    
110111111100    2               12              20A4                 3580                     
B457            18              60              ICP                  65545                    
E               16              3               112                  14                       
1G              19              50              Z                    35                       
313             7               47              3G                   157                      
1GJ2            46              41              1bN7                 132068                   
2OjU            47              15              52D07                262807                   
7cX             45              62              48k                  15918                    
15DP            63              43              3HI8                 270736                   
eWc             42              53              PWL                  71942                    
3788E5          19              51              1CFnm                8398575                  
2u              63              24              7E                   182                      
TB              35              16              402                  1026                     
37DA            22              51              DZU                  35628                    
1D522A          14              48              9OFc                 1051382                  
2AA660          13              62              4PTm                 1051258                  
h4AS            46              56              NnS0                 4194400                  
2Rd0            60              62              2EHE                 531540                   
VVWh            51              25              AIB4C                4194487                  
D               41              52              D                    13                       
8               57              21              8                    8                        
Yg7             62              38              2GC3                 133307                   
229B            14              41              3NV                  6017                     
CCk             54              28              1HEE                 35686                    
1B              43              2               110110               54                       
2FP             28              42              15d                  2013                     
21E             15              60              7x                   479                      
ETd             50              59              ASR                  36489                    
BFD             18              49              1TP                  3847                     
25525           13              35              1LAX                 68983                    
2FT4            38              26              7E0E                 132510                   
1KQ             48              8               6332                 3290                     
1L2             42              25              45N                  2648                     
hTn             55              7               1056010              131719                   
3               53              22              3                    3                        
1               7               63              1                    1                        
120             3               37              F                    15                       
2               4               7               2                    2                        
OGJ6            35              18              9HG8F                1049271                  
83E             35              53              3S8                  9919                     
7120            8               10              3664                 3664                     
S               39              30              S                    28                       
MWI             42              39              QG0                  40170                    
2dW1I           41              15              B0BD7C               8393292                  
1155            23              58              3ku                  12816                    
7               8               42              7                    7                        
p               58              11              47                   51                       
3               24              16              3                    3                        
1j              56              32              35                   101                      
80BF3           32              26              I9OEF                8400355                  
SU              32              37              P1                   926                      
11764           9               52              2mB                  7915                     
3               42              10              3                    3                        
9               30              7               12                   9                        
0               26              41              0                    0                        
26              9               25              O                    24                       
TPD             34              61              9Ei                  34387                    
3H              30              53              21                   107                      
3               61              54              3                    3                        
J0FC            24              42              3N4O                 263028                   
587077          13              7               23565463             2100430                  
5O              39              16              DB                   219                      
SGES            42              29              2S6RL                2103304                  
2               19              47              2                    2                        
jH5t            57              14              118544A              8389258                  
63              36              33              6L                   219                      
j               57              7               63                   45                       
0               41              61              0                    0                        
0               6               22              0                    0                        
595F4           25              11              1202775              2097254                  
42Y             48              23              HF8                  9346                     
227A            33              37              1H9Y                 74293                    
15265           8               55              2EH                  6837                     
1               44              46              1                    1                        
225             47              23              8C9                  4517                     
25              11              60              R                    27                       
1P              27              50              12                   52                       
235             11              30              9A                   280                      
9MNO            30              44              344g                 263514                   
N6Q             41              7               221341               38935                    
1H1             32              42              bF                   1569                     
3BFD1           28              59              ACXu                 2097565                  
32CI            22              56              AWg                  33194                    
5Q              34              50              3k                   196                      
35GD            23              52              EW7                  39527                    
2Md             56              31              7QA                  7543                     
111             2               47              7                    7                        
5BH             57              20              2249                 16889                    
3Q              28              37              2a                   110                      
LSD0            46              37              14JU8                2103902                  
23              31              8               101                  65                       
V               59              42              V                    31                       
2b9             55              28              A92                  8094                     
HL17            31              40              896Q                 526666                   
222201202210    3               16              8075A                526170                   
K5              59              30              19F                  1185                     
3S60            53              59              2WwT                 525601                   
9L67            38              50              49c7                 524407                   
4cL             63              7               104220               18291                    
2               56              15              2                    2                        
67HMH           24              3               10221120120212       2097761                  
R               33              47              R                    27                       
7               38              7               10                   7                        
232104313       5               11              658356               1050583                  
11505           8               18              F41                  4933                     
2               47              6               2                    2                        
6               44              36              6                    6                        
6T              35              2               11101111             239                      
Kd4             44              15              BEB0                 40440                    
3NK             52              35              7LI                  9328                     
A               16              23              A                    10                       
1               54              57              1                    1                        
113201          4               13              8BA                  1505                     
303             4               56              p                    51                       
33F4            22              53              C0M                  33730                    
HC              23              33              C7                   403                      
3YZY            41              11              171430               265386                   
CPO             26              40              5JQ                  8786                     
1EC             27              10              1119                 1119                     
21220020202001  3               37              28W13                4197394                  
1A9O            29              62              8bc                  33084                    
NA5             41              30              1DCI                 39078                    
