Input: AmA, Original Base: 55, Target Base: 12, Converted: 17058, Base10: 32900
Input: AIBNA, Original Base: 25, Target Base: 18, Converted: 23H576, Base10: 4194960
Input: 9, Original Base: 56, Target Base: 63, Converted: 9, Base10: 9
Input: A60C, Original Base: 15, Target Base: 4, Converted: 20210220, Base10: 35112
Input: 587033, Original Base: 13, Target Base: 4, Converted: 20000302112, Base10: 2100374
Input: 10001111001000, Original Base: 2, Target Base: 13, Converted: 4228, Base10: 9160
Input: fr, Original Base: 54, Target Base: 58, Converted: d5, Base10: 2267
Input: 1To, Original Base: 61, Target Base: 43, Converted: 2ga, Base10: 5540
Input: Jlh, Original Base: 63, Target Base: 14, Converted: 20811, Base10: 78415
Input: 2990B19, Original Base: 12, Target Base: 56, Converted: lkQL, Base10: 8399685
Input: TU, Original Base: 46, Target Base: 23, Converted: 2D7, Base10: 1364
Input: 55IQE, Original Base: 30, Target Base: 46, Converted: h7bW, Base10: 4201994
Input: 4GSAR, Original Base: 31, Target Base: 31, Converted: 4GSAR, Base10: 4197985
Input: 167AA, Original Base: 15, Target Base: 51, Converted: Rkb, Base10: 72610
Input: 27DF, Original Base: 20, Target Base: 33, Converted: HH1, Base10: 19075
Input: F3HK, Original Base: 26, Target Base: 50, Converted: 26MU, Base10: 266130
Input: 4d, Original Base: 44, Target Base: 37, Converted: 5U, Base10: 215
Input: 11J, Original Base: 30, Target Base: 7, Converted: 2524, Base10: 949
Input: 4c, Original Base: 59, Target Base: 15, Converted: 134, Base10: 274
Input: 22646, Original Base: 7, Target Base: 52, Converted: 27i, Base10: 5816
Input: 2I, Original Base: 52, Target Base: 32, Converted: 3Q, Base10: 122
Input: 2, Original Base: 14, Target Base: 19, Converted: 2, Base10: 2
Input: Q, Original Base: 29, Target Base: 16, Converted: 1A, Base10: 26
Input: 13, Original Base: 15, Target Base: 23, Converted: I, Base10: 18
Input: 0, Original Base: 63, Target Base: 51, Converted: 0, Base10: 0
Input: 2Vfd, Original Base: 46, Target Base: 22, Converted: 12DFJ, Base10: 262193
Input: 10000000010011111100111, Original Base: 2, Target Base: 50, Converted: XVeJ, Base10: 4204519
Input: 8TP, Original Base: 31, Target Base: 21, Converted: JB2, Base10: 8612
Input: 31FO, Original Base: 56, Target Base: 10, Converted: 530848, Base10: 530848
Input: 221413, Original Base: 7, Target Base: 25, Converted: 2C8F, Base10: 38965
Input: 10A, Original Base: 55, Target Base: 36, Converted: 2CB, Base10: 3035
Input: 34, Original Base: 6, Target Base: 49, Converted: M, Base10: 22
Input: 9JO, Original Base: 31, Target Base: 10, Converted: 9262, Base10: 9262
Input: 26, Original Base: 45, Target Base: 7, Converted: 165, Base10: 96
Input: MIC3, Original Base: 36, Target Base: 2, Converted: 100000000011001010011, Base10: 1050195
Input: 2hO, Original Base: 57, Target Base: 35, Converted: 7BD, Base10: 8973
Input: 1H7mJ, Original Base: 50, Target Base: 54, Converted: rGnP, Base10: 8394919
Input: 1186D1C, Original Base: 14, Target Base: 59, Converted: epHW, Base10: 8393726
Input: LQSa, Original Base: 46, Target Base: 19, Converted: G2453, Base10: 2100396
Input: N1N, Original Base: 57, Target Base: 35, Converted: 1Q2C, Base10: 74807
Input: 1783, Original Base: 22, Target Base: 15, Converted: 432A, Base10: 14215
Input: 2MFJ, Original Base: 37, Target Base: 16, Converted: 2039E, Base10: 131998
Input: 21, Original Base: 17, Target Base: 50, Converted: Z, Base10: 35
Input: H9, Original Base: 22, Target Base: 25, Converted: F8, Base10: 383
Input: 22, Original Base: 21, Target Base: 49, Converted: i, Base10: 44
Input: 43, Original Base: 34, Target Base: 13, Converted: A9, Base10: 139
Input: 2FM, Original Base: 35, Target Base: 21, Converted: 6GF, Base10: 2997
Input: 4, Original Base: 37, Target Base: 17, Converted: 4, Base10: 4
Input: 13IeH, Original Base: 53, Target Base: 50, Converted: 1H5kB, Base10: 8389811
Input: C58, Original Base: 19, Target Base: 61, Converted: 1Bh, Base10: 4435
Input: FL7PF, Original Base: 27, Target Base: 13, Converted: 197A255, Base10: 8390751
Input: 2mX7, Original Base: 57, Target Base: 41, Converted: 7R9N, Base10: 528226
Input: bZ, Original Base: 49, Target Base: 45, Converted: f3, Base10: 1848
Input: eqQv, Original Base: 59, Target Base: 45, Converted: 2271h, Base10: 8397763
Input: 8CB, Original Base: 17, Target Base: 15, Converted: B37, Base10: 2527
Input: 11, Original Base: 22, Target Base: 52, Converted: N, Base10: 23
Input: 1121, Original Base: 4, Target Base: 55, Converted: 1Y, Base10: 89
Input: 2000747, Original Base: 8, Target Base: 12, Converted: 213833, Base10: 524775
Input: 4, Original Base: 27, Target Base: 21, Converted: 4, Base10: 4
Input: awfS, Original Base: 61, Target Base: 56, Converted: lhFN, Base10: 8389663
Input: 1Eow, Original Base: 60, Target Base: 59, Converted: 1IO5, Base10: 269458
Input: 0, Original Base: 2, Target Base: 18, Converted: 0, Base10: 0
Input: F, Original Base: 56, Target Base: 10, Converted: 15, Base10: 15
Input: 11, Original Base: 6, Target Base: 13, Converted: 7, Base10: 7
Input: 4121421234, Original Base: 5, Target Base: 30, Converted: AAL1E, Base10: 8388944
Input: L82, Original Base: 40, Target Base: 34, Converted: TBO, Base10: 33922
Input: U, Original Base: 61, Target Base: 41, Converted: U, Base10: 30
Input: 95B59, Original Base: 13, Target Base: 9, Converted: 451283, Base10: 269967
Input: BJD5, Original Base: 57, Target Base: 8, Converted: 10004620, Base10: 2099600
Input: 14, Original Base: 10, Target Base: 42, Converted: E, Base10: 14
Input: 2, Original Base: 24, Target Base: 38, Converted: 2, Base10: 2
Input: JPES, Original Base: 60, Target Base: 25, Converted: AIBJI, Base10: 4194868
Input: 1, Original Base: 35, Target Base: 44, Converted: 1, Base10: 1
Input: HeUX, Original Base: 49, Target Base: 20, Converted: D23IG, Base10: 2097576
Input: 210, Original Base: 3, Target Base: 58, Converted: L, Base10: 21
Input: Cd, Original Base: 56, Target Base: 22, Converted: 1A7, Base10: 711
Input: h2cs, Original Base: 58, Target Base: 39, Converted: 3OMYZ, Base10: 8398802
Input: G, Original Base: 29, Target Base: 5, Converted: 31, Base10: 16
Input: 8L7F0, Original Base: 22, Target Base: 34, Converted: 1JFR4, Base10: 2101374
Input: 1VRTO, Original Base: 39, Target Base: 31, Converted: 4GOO4, Base10: 4194552
Input: 9iHQ, Original Base: 60, Target Base: 19, Converted: G2CDD, Base10: 2103446
Input: 6, Original Base: 49, Target Base: 63, Converted: 6, Base10: 6
Input: 1E, Original Base: 47, Target Base: 13, Converted: 49, Base10: 61
Input: 57IK, Original Base: 59, Target Base: 46, Converted: AbF2, Base10: 1052344
Input: 3942, Original Base: 11, Target Base: 20, Converted: CG8, Base10: 5128
Input: 1020031, Original Base: 4, Target Base: 6, Converted: 33221, Base10: 4621
Input: 32j, Original Base: 53, Target Base: 22, Converted: HFK, Base10: 8578
Input: 20FL, Original Base: 28, Target Base: 16, Converted: AD39, Base10: 44345
Input: 8394152, Original Base: 10, Target Base: 24, Converted: 117548, Base10: 8394152
Input: 7T, Original Base: 56, Target Base: 56, Converted: 7T, Base10: 421
Input: rHI6, Original Base: 54, Target Base: 24, Converted: 1178F6, Base10: 8396142
Input: 30, Original Base: 4, Target Base: 46, Converted: C, Base10: 12
Input: 1, Original Base: 52, Target Base: 32, Converted: 1, Base10: 1
Input: 1, Original Base: 47, Target Base: 59, Converted: 1, Base10: 1
Input: 3, Original Base: 51, Target Base: 59, Converted: 3, Base10: 3
Input: 1110000010, Original Base: 2, Target Base: 17, Converted: 31E, Base10: 898
Input: 145, Original Base: 19, Target Base: 2, Converted: 110111010, Base10: 442
Input: t3, Original Base: 63, Target Base: 4, Converted: 312030, Base10: 3468
Input: 5BM7, Original Base: 29, Target Base: 53, Converted: knU, Base10: 131841
Input: 357, Original Base: 36, Target Base: 5, Converted: 112300, Base10: 4075
Input: 100011101101101, Original Base: 2, Target Base: 9, Converted: 27066, Base10: 18285
Input: B0D, Original Base: 28, Target Base: 5, Converted: 234022, Base10: 8637
Input: A7, Original Base: 29, Target Base: 48, Converted: 69, Base10: 297
Input: 1KS8, Original Base: 58, Target Base: 53, Converted: 1eqV, Base10: 264024
Input: B, Original Base: 25, Target Base: 56, Converted: B, Base10: 11
Input: 1, Original Base: 31, Target Base: 50, Converted: 1, Base10: 1
Input: 0, Original Base: 26, Target Base: 37, Converted: 0, Base10: 0
Input: 4, Original Base: 39, Target Base: 23, Converted: 4, Base10: 4
Input: 1, Original Base: 18, Target Base: 43, Converted: 1, Base10: 1
Input: 9FC, Original Base: 16, Target Base: 7, Converted: 10311, Base10: 2556
Input: 2AM, Original Base: 37, Target Base: 23, Converted: 5L2, Base10: 3130
Input: I, Original Base: 25, Target Base: 51, Converted: I, Base10: 18
Input: 1001210121, Original Base: 3, Target Base: 47, Converted: 9NX, Base10: 20995
Input: 1CC4, Original Base: 13, Target Base: 58, Converted: 1HZ, Base10: 4385
Input: gB0, Original Base: 56, Target Base: 27, Converted: 6JE1, Base10: 132328
Input: b6W, Original Base: 42, Target Base: 25, Converted: 44M2, Base10: 65552
Input: 3, Original Base: 9, Target Base: 33, Converted: 3, Base10: 3
Input: 41, Original Base: 18, Target Base: 49, Converted: 1O, Base10: 73
Input: 1, Original Base: 54, Target Base: 55, Converted: 1, Base10: 1
Input: BhX, Original Base: 53, Target Base: 60, Converted: 9DV, Base10: 33211
Input: 2ZeS, Original Base: 46, Target Base: 34, Converted: 6U2S, Base10: 270600
Input: 213241, Original Base: 5, Target Base: 52, Converted: 2af, Base10: 7321
Input: 827, Original Base: 10, Target Base: 6, Converted: 3455, Base10: 827
Input: O, Original Base: 39, Target Base: 45, Converted: O, Base10: 24
Input: C, Original Base: 54, Target Base: 8, Converted: 14, Base10: 12
Input: 2XXR, Original Base: 59, Target Base: 6, Converted: 15150341, Base10: 527605
Input: 5BK1, Original Base: 37, Target Base: 46, Converted: 2Z7B, Base10: 269065
Input: 12158, Original Base: 13, Target Base: 13, Converted: 12158, Base10: 33197
Input: J, Original Base: 22, Target Base: 16, Converted: 13, Base10: 19
Input: IUWx, Original Base: 61, Target Base: 58, Converted: LUHf, Base10: 4199299
Input: 1AL, Original Base: 50, Target Base: 47, Converted: 1HD, Base10: 3021
Input: 7A0, Original Base: 11, Target Base: 59, Converted: GD, Base10: 957
Input: 1002001, Original Base: 4, Target Base: 23, Converted: 7MG, Base10: 4225
Input: 6MF, Original Base: 51, Target Base: 16, Converted: 4167, Base10: 16743
Input: 2A24, Original Base: 11, Target Base: 30, Converted: 49S, Base10: 3898
Input: 571, Original Base: 15, Target Base: 28, Converted: 1FR, Base10: 1231
Input: 1994, Original Base: 11, Target Base: 13, Converted: 11C1, Base10: 2523
Input: 1, Original Base: 24, Target Base: 58, Converted: 1, Base10: 1
Input: 4313330, Original Base: 7, Target Base: 40, Converted: 87ZF, Base10: 524615
Input: 20GR5, Original Base: 38, Target Base: 19, Converted: 1D39G5, Base10: 4194407
Input: 1, Original Base: 8, Target Base: 31, Converted: 1, Base10: 1
Input: 0, Original Base: 45, Target Base: 63, Converted: 0, Base10: 0
Input: 2B669A, Original Base: 15, Target Base: 52, Converted: ElY2, Base10: 2097370
Input: CFE6I, Original Base: 24, Target Base: 51, Converted: VWT6, Base10: 4196898
Input: 128, Original Base: 25, Target Base: 22, Converted: 191, Base10: 683
Input: LL, Original Base: 49, Target Base: 54, Converted: JO, Base10: 1050
Input: 302, Original Base: 9, Target Base: 17, Converted: E7, Base10: 245
Input: 2HKO8, Original Base: 30, Target Base: 25, Converted: 59693, Base10: 2097728
Input: 3SOB, Original Base: 53, Target Base: 62, Converted: 2Cz0, Base10: 526566
Input: 10000101101011011, Original Base: 2, Target Base: 5, Converted: 4142233, Base10: 68443
Input: E3GF, Original Base: 21, Target Base: 47, Converted: 1CLA, Base10: 131328
Input: AiZP, Original Base: 58, Target Base: 27, Converted: 3PK7O, Base10: 2101191
Input: CN, Original Base: 32, Target Base: 27, Converted: F2, Base10: 407
Input: 13NN, Original Base: 27, Target Base: 44, Converted: BRU, Base10: 22514
Input: 0, Original Base: 8, Target Base: 55, Converted: 0, Base10: 0
Input: 5bgK, Original Base: 57, Target Base: 4, Converted: 10000000100, Base10: 1048592
Input: 82B, Original Base: 52, Target Base: 46, Converted: ACZ, Base10: 21747
Input: 1K7H3, Original Base: 23, Target Base: 55, Converted: 39Gm, Base10: 527278
Input: 4BE, Original Base: 26, Target Base: 27, Converted: 437, Base10: 3004
Input: 20EB4, Original Base: 19, Target Base: 54, Converted: 1bAD, Base10: 265909
Input: O1A, Original Base: 27, Target Base: 56, Converted: 5X5, Base10: 17533
Input: C, Original Base: 31, Target Base: 9, Converted: 13, Base10: 12
Input: 40B, Original Base: 17, Target Base: 56, Converted: Kl, Base10: 1167
Input: 5J, Original Base: 47, Target Base: 3, Converted: 100102, Base10: 254
Input: 1, Original Base: 37, Target Base: 53, Converted: 1, Base10: 1
Input: 4AB42, Original Base: 22, Target Base: 32, Converted: 100AM, Base10: 1048918
Input: H0, Original Base: 22, Target Base: 26, Converted: EA, Base10: 374
Input: 8067, Original Base: 32, Target Base: 38, Converted: 4TPT, Base10: 262343
Input: 14F, Original Base: 20, Target Base: 55, Converted: 90, Base10: 495
Input: 3HR8W, Original Base: 33, Target Base: 19, Converted: 1D41GI, Base10: 4198391
Input: 22, Original Base: 14, Target Base: 13, Converted: 24, Base10: 30
Input: 1E0E2, Original Base: 29, Target Base: 55, Converted: 6GjA, Base10: 1049135
Input: hVi, Original Base: 55, Target Base: 2, Converted: 100000001011110000, Base10: 131824
Input: 12C5C, Original Base: 16, Target Base: 30, Converted: 2PD2, Base10: 76892
Input: 1G, Original Base: 36, Target Base: 25, Converted: 22, Base10: 52
Input: 10, Original Base: 5, Target Base: 6, Converted: 5, Base10: 5
Input: 3Cb2, Original Base: 43, Target Base: 57, Converted: 1Nfj, Base10: 262302
Input: 2252, Original Base: 9, Target Base: 44, Converted: bd, Base10: 1667
Input: B3B4CB, Original Base: 13, Target Base: 34, Converted: 34ORU, Base10: 4194916
Input: 2424, Original Base: 9, Target Base: 59, Converted: UY, Base10: 1804
Input: 4, Original Base: 35, Target Base: 55, Converted: 4, Base10: 4
Input: 151, Original Base: 8, Target Base: 21, Converted: 50, Base10: 105
Input: 45604, Original Base: 11, Target Base: 42, Converted: bG9, Base10: 65949
Input: 1BTR, Original Base: 37, Target Base: 10, Converted: 66812, Base10: 66812
Input: 1101111110001, Original Base: 2, Target Base: 8, Converted: 15761, Base10: 7153
Input: A, Original Base: 38, Target Base: 7, Converted: 13, Base10: 10
Input: 14D, Original Base: 15, Target Base: 32, Converted: 9A, Base10: 298
Input: 0, Original Base: 54, Target Base: 2, Converted: 0, Base10: 0
Input: HaS, Original Base: 43, Target Base: 14, Converted: C05B, Base10: 33009
Input: 116, Original Base: 15, Target Base: 61, Converted: 42, Base10: 246
Input: 6, Original Base: 29, Target Base: 34, Converted: 6, Base10: 6
Input: lEW, Original Base: 53, Target Base: 11, Converted: 90855, Base10: 132797
Input: 300, Original Base: 4, Target Base: 7, Converted: 66, Base10: 48
Input: 114A1, Original Base: 11, Target Base: 14, Converted: 6075, Base10: 16567
Input: oT0, Original Base: 51, Target Base: 4, Converted: 200013021, Base10: 131529
Input: 6Q, Original Base: 34, Target Base: 49, Converted: 4Y, Base10: 230
Input: 2S7NJ, Original Base: 29, Target Base: 17, Converted: 183465, Base10: 2104027
Input: I, Original Base: 25, Target Base: 24, Converted: I, Base10: 18
Input: 1, Original Base: 5, Target Base: 50, Converted: 1, Base10: 1
Input: 20000012303, Original Base: 4, Target Base: 27, Converted: 3PF9B, Base10: 2097587
Input: 1c, Original Base: 61, Target Base: 25, Converted: 3O, Base10: 99
Input: TEVD, Original Base: 33, Target Base: 18, Converted: A18F1, Base10: 1058455
Input: 4, Original Base: 15, Target Base: 13, Converted: 4, Base10: 4
Input: A, Original Base: 59, Target Base: 63, Converted: A, Base10: 10
Input: 2Q, Original Base: 47, Target Base: 23, Converted: 55, Base10: 120
Input: BJT, Original Base: 36, Target Base: 26, Converted: M3J, Base10: 14969
Input: 6, Original Base: 56, Target Base: 54, Converted: 6, Base10: 6
Input: 1MFQM, Original Base: 49, Target Base: 62, Converted: ZCis, Base10: 8390390
Input: 2Lb, Original Base: 38, Target Base: 45, Converted: 1bX, Base10: 3723
Input: 2411595, Original Base: 11, Target Base: 10, Converted: 4204007, Base10: 4204007
Input: 3, Original Base: 49, Target Base: 59, Converted: 3, Base10: 3
Input: 13D, Original Base: 42, Target Base: 43, Converted: 11B, Base10: 1903
Input: U, Original Base: 31, Target Base: 56, Converted: U, Base10: 30
Input: 19, Original Base: 27, Target Base: 42, Converted: a, Base10: 36
Input: n, Original Base: 56, Target Base: 24, Converted: 21, Base10: 49
Input: 1, Original Base: 23, Target Base: 34, Converted: 1, Base10: 1
Input: 1bB1, Original Base: 41, Target Base: 7, Converted: 1055405, Base10: 131570
Input: 2Ed, Original Base: 44, Target Base: 10, Converted: 4527, Base10: 4527
Input: JNL1, Original Base: 30, Target Base: 21, Converted: 2FED7, Base10: 534331
Input: 15ABEE, Original Base: 15, Target Base: 30, Converted: 18PET, Base10: 1048949
Input: 7807656, Original Base: 9, Target Base: 35, Converted: 2RW19, Base10: 4198119
Input: 1Z5, Original Base: 60, Target Base: 16, Converted: 1649, Base10: 5705
Input: 87, Original Base: 40, Target Base: 50, Converted: 6R, Base10: 327
Input: 2D, Original Base: 28, Target Base: 14, Converted: 4D, Base10: 69
Input: 4NMF, Original Base: 24, Target Base: 23, Converted: 5FDI, Base10: 69087
Input: 7E, Original Base: 33, Target Base: 11, Converted: 203, Base10: 245
Input: 177O, Original Base: 25, Target Base: 12, Converted: B833, Base10: 20199
Input: LUd7, Original Base: 58, Target Base: 5, Converted: 2033404131, Base10: 4200541
Input: 9j, Original Base: 46, Target Base: 19, Converted: 153, Base10: 459
Input: 72ORN, Original Base: 33, Target Base: 47, Converted: 1XgbE, Base10: 8400371
Input: 2KJR, Original Base: 48, Target Base: 21, Converted: 17K3C, Base10: 268203
Input: Fl, Original Base: 63, Target Base: 16, Converted: 3E0, Base10: 992
Input: 7, Original Base: 8, Target Base: 6, Converted: 11, Base10: 7
Input: 1KTv, Original Base: 58, Target Base: 4, Converted: 1000133003, Base10: 264131
Input: 25, Original Base: 47, Target Base: 37, Converted: 2P, Base10: 99
Input: I993K, Original Base: 26, Target Base: 42, Converted: 2TA8E, Base10: 8389934
Input: Jdi, Original Base: 60, Target Base: 51, Converted: RAl, Base10: 70784
Input: F, Original Base: 47, Target Base: 21, Converted: F, Base10: 15
Input: 20W, Original Base: 63, Target Base: 27, Converted: AP5, Base10: 7970
Input: EC8, Original Base: 24, Target Base: 19, Converted: 1430, Base10: 8360
Input: 2671, Original Base: 20, Target Base: 40, Converted: BNL, Base10: 18541
Input: A2C, Original Base: 29, Target Base: 15, Converted: 27A5, Base10: 8480
Input: 0, Original Base: 19, Target Base: 25, Converted: 0, Base10: 0
Input: 2141354, Original Base: 7, Target Base: 41, Converted: 3X02, Base10: 262238
Input: 4002172, Original Base: 8, Target Base: 31, Converted: 147A0, Base10: 1049722
Input: 382D, Original Base: 17, Target Base: 42, Converted: 9T4, Base10: 17098
Input: 816, Original Base: 11, Target Base: 41, Converted: O1, Base10: 985
Input: 37c, Original Base: 56, Target Base: 41, Converted: 5Yd, Base10: 9838
Input: 3JRW, Original Base: 34, Target Base: 31, Converted: 4MGO, Base10: 140826
Input: 1037, Original Base: 10, Target Base: 3, Converted: 1102102, Base10: 1037
Input: 1K5D0, Original Base: 23, Target Base: 22, Converted: 2590H, Base10: 526125
Input: 1A3, Original Base: 11, Target Base: 58, Converted: 42, Base10: 234
Input: 2FH, Original Base: 46, Target Base: 10, Converted: 4939, Base10: 4939
Input: H4, Original Base: 57, Target Base: 35, Converted: RS, Base10: 973
Input: 0, Original Base: 12, Target Base: 36, Converted: 0, Base10: 0
Input: 5RCJ, Original Base: 28, Target Base: 2, Converted: 100000000011010011, Base10: 131283
Input: 5Zu, Original Base: 62, Target Base: 11, Converted: 15127, Base10: 21446
Input: 7MWD, Original Base: 33, Target Base: 5, Converted: 32322321, Base10: 276586
Input: 8oS1, Original Base: 62, Target Base: 4, Converted: 20000311101, Base10: 2100561
Input: AhSt, Original Base: 58, Target Base: 23, Converted: 7B8LC, Base10: 2097451
Input: Cdo, Original Base: 61, Target Base: 46, Converted: MBN, Base10: 47081
Input: 5fdD, Original Base: 57, Target Base: 51, Converted: 803n, Base10: 1061410
Input: 5Q, Original Base: 31, Target Base: 52, Converted: 3P, Base10: 181
Input: 14a, Original Base: 50, Target Base: 25, Converted: 49B, Base10: 2736
Input: 21300, Original Base: 4, Target Base: 56, Converted: B8, Base10: 624
Input: 6, Original Base: 54, Target Base: 10, Converted: 6, Base10: 6
Input: 99, Original Base: 25, Target Base: 15, Converted: 109, Base10: 234
Input: 2E, Original Base: 54, Target Base: 17, Converted: 73, Base10: 122
Input: CC6, Original Base: 31, Target Base: 12, Converted: 6A86, Base10: 11910
Input: 235, Original Base: 8, Target Base: 15, Converted: A7, Base10: 157
Input: 1, Original Base: 24, Target Base: 7, Converted: 1, Base10: 1
Input: 2Ofc, Original Base: 47, Target Base: 63, Converted: 13Ah, Base10: 262627
Input: 1, Original Base: 28, Target Base: 53, Converted: 1, Base10: 1
Input: 1929, Original Base: 11, Target Base: 49, Converted: 111, Base10: 2451
Input: 3, Original Base: 48, Target Base: 16, Converted: 3, Base10: 3
Input: 1230552, Original Base: 6, Target Base: 50, Converted: QQ8, Base10: 66308
Input: 100111110, Original Base: 2, Target Base: 18, Converted: HC, Base10: 318
Input: 1JZAS, Original Base: 41, Target Base: 48, Converted: biQ5, Base10: 4194533
Input: AQ, Original Base: 37, Target Base: 44, Converted: 90, Base10: 396
Input: 5M, Original Base: 32, Target Base: 49, Converted: 3Z, Base10: 182
Input: jIcM, Original Base: 57, Target Base: 18, Converted: 47H691, Base10: 8394355
Input: 100001123030, Original Base: 4, Target Base: 19, Converted: 1D46E0, Base10: 4200140
Input: 77H, Original Base: 48, Target Base: 38, Converted: BFR, Base10: 16481
Input: 10D, Original Base: 14, Target Base: 20, Converted: A9, Base10: 209
Input: 22IK, Original Base: 21, Target Base: 24, Converted: 1A92, Base10: 19802
Input: 2B7DAD, Original Base: 15, Target Base: 26, Converted: 4FFP4, Base10: 2102338
Input: QQ1R, Original Base: 34, Target Base: 27, Converted: 1QC2K, Base10: 1052021
Input: 1, Original Base: 4, Target Base: 59, Converted: 1, Base10: 1
Input: 66hO, Original Base: 44, Target Base: 39, Converted: 8Wa8, Base10: 524636
Input: CFKFM, Original Base: 24, Target Base: 55, Converted: PDY4, Base10: 4200574
Input: S7H, Original Base: 37, Target Base: 57, Converted: BoJ, Base10: 38608
Input: B1R, Original Base: 34, Target Base: 3, Converted: 122112020, Base10: 12777
Input: 17W, Original Base: 39, Target Base: 28, Converted: 296, Base10: 1826
Input: 3, Original Base: 47, Target Base: 3, Converted: 10, Base10: 3
Input: 7, Original Base: 37, Target Base: 47, Converted: 7, Base10: 7
Input: t, Original Base: 63, Target Base: 44, Converted: 1B, Base10: 55
Input: 5, Original Base: 63, Target Base: 26, Converted: 5, Base10: 5
Input: 1413, Original Base: 6, Target Base: 7, Converted: 1035, Base10: 369
Input: AGBD2, Original Base: 21, Target Base: 60, Converted: 9gmW, Base10: 2098112
Input: 1014111213, Original Base: 5, Target Base: 37, Converted: 14FA5, Base10: 2097683
Input: OOE, Original Base: 37, Target Base: 6, Converted: 420142, Base10: 33758
Input: 1CDV3, Original Base: 51, Target Base: 29, Converted: BP32D, Base10: 8392410
Input: WVC7, Original Base: 40, Target Base: 14, Converted: 3C8875, Base10: 2098087
Input: eJTO, Original Base: 47, Target Base: 9, Converted: 7805181, Base10: 4196278
Input: 6S6, Original Base: 30, Target Base: 54, Converted: 27a, Base10: 6246
Input: C0D1, Original Base: 28, Target Base: 29, Converted: ANJ5, Base10: 263789
Input: 28U1T, Original Base: 37, Target Base: 10, Converted: 4194682, Base10: 4194682
Input: 878P, Original Base: 32, Target Base: 60, Converted: 1ErD, Base10: 269593
Input: 8gm, Original Base: 51, Target Base: 39, Converted: F4R, Base10: 22998
Input: 7B3, Original Base: 17, Target Base: 50, Converted: iD, Base10: 2213
Input: 0, Original Base: 29, Target Base: 8, Converted: 0, Base10: 0
Input: VC, Original Base: 37, Target Base: 52, Converted: MF, Base10: 1159
Input: XSmH, Original Base: 50, Target Base: 45, Converted: 112Zg, Base10: 4197417
Input: 4hc, Original Base: 51, Target Base: 53, Converted: 4QL, Base10: 12635
Input: 4043, Original Base: 5, Target Base: 24, Converted: LJ, Base10: 523
Input: 108ZQ, Original Base: 38, Target Base: 48, Converted: IkTC, Base10: 2098044
Input: 92P0R, Original Base: 31, Target Base: 26, Converted: I9H31, Base10: 8395323
Input: 91I, Original Base: 41, Target Base: 8, Converted: 35524, Base10: 15188
Input: 29, Original Base: 14, Target Base: 50, Converted: b, Base10: 37
Input: 2m5K, Original Base: 57, Target Base: 62, Converted: 2D0F, Base10: 526643
Input: 15DAK, Original Base: 44, Target Base: 17, Converted: 2G4DAF, Base10: 4199644
Input: 814CD, Original Base: 16, Target Base: 58, Converted: 2fPF, Base10: 529613
Input: 1, Original Base: 33, Target Base: 42, Converted: 1, Base10: 1
Input: 0, Original Base: 61, Target Base: 28, Converted: 0, Base10: 0
Input: 79, Original Base: 26, Target Base: 17, Converted: B4, Base10: 191
Input: 1PDWG, Original Base: 33, Target Base: 15, Converted: 2B716A, Base10: 2099575
Input: 100000000001000001000011, Original Base: 2, Target Base: 2, Converted: 100000000001000001000011, Base10: 8392771
Input: 171, Original Base: 16, Target Base: 27, Converted: DI, Base10: 369
Input: DK, Original Base: 26, Target Base: 25, Converted: E8, Base10: 358
Input: fs2, Original Base: 57, Target Base: 50, Converted: 14Pd, Base10: 136289
Input: 100G4, Original Base: 32, Target Base: 7, Converted: 11626402, Base10: 1049092
Input: 1BND, Original Base: 37, Target Base: 10, Converted: 66576, Base10: 66576
Input: 1L, Original Base: 27, Target Base: 36, Converted: 1C, Base10: 48
Input: 8P, Original Base: 44, Target Base: 54, Converted: 6r, Base10: 377
Input: 8, Original Base: 40, Target Base: 47, Converted: 8, Base10: 8
Input: KK, Original Base: 54, Target Base: 51, Converted: LT, Base10: 1100
Input: 34BBA, Original Base: 12, Target Base: 17, Converted: E727, Base10: 70846
Input: 1, Original Base: 52, Target Base: 32, Converted: 1, Base10: 1
Input: P, Original Base: 41, Target Base: 56, Converted: P, Base10: 25
Input: 45C, Original Base: 60, Target Base: 6, Converted: 152040, Base10: 14712
Input: 8I, Original Base: 60, Target Base: 21, Converted: 12F, Base10: 498
Input: BTa, Original Base: 57, Target Base: 44, Converted: JES, Base10: 37428
Input: 3137, Original Base: 24, Target Base: 14, Converted: 114D1, Base10: 42127
Input: 20002, Original Base: 3, Target Base: 62, Converted: 2e, Base10: 164
Input: 14MN, Original Base: 39, Target Base: 15, Converted: 1498E, Base10: 66284
Input: 3, Original Base: 21, Target Base: 11, Converted: 3, Base10: 3
Input: 40A8F, Original Base: 19, Target Base: 31, Converted: HJBE, Base10: 525061
Input: PQ, Original Base: 31, Target Base: 9, Converted: 1080, Base10: 801
Input: DA, Original Base: 15, Target Base: 57, Converted: 3Y, Base10: 205
Input: 2, Original Base: 22, Target Base: 12, Converted: 2, Base10: 2
Input: 1DQ, Original Base: 35, Target Base: 51, Converted: XN, Base10: 1706
Input: 3E, Original Base: 38, Target Base: 10, Converted: 128, Base10: 128
Input: 441235, Original Base: 6, Target Base: 42, Converted: KVH, Base10: 36599
Input: 4DQU, Original Base: 31, Target Base: 22, Converted: C9G9, Base10: 132493
